Event,Edition,Date/time
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,8/8/2010 23:00
CTWC,2010,9/8/2010 0:00
CTWC,2011,16/10/2011 20:00:00
CTWC,2011,16/10/2011 20:00:00
CTWC,2011,16/10/2011 20:00:00
CTWC,2011,16/10/2011 20:00:00
CTWC,2011,16/10/2011 21:00:00
CTWC,2011,16/10/2011 21:00:00
CTWC,2011,16/10/2011 22:00:00
CTWC,2012,30/09/2012 18:00:00
CTWC,2012,30/09/2012 18:00:00
CTWC,2012,30/09/2012 18:20:00
CTWC,2012,30/09/2012 18:20:00
CTWC,2012,30/09/2012 18:40:00
CTWC,2012,30/09/2012 18:40:00
CTWC,2012,30/09/2012 19:00:00
CTWC,2012,30/09/2012 19:00:00
CTWC,2012,30/09/2012 19:20:00
CTWC,2012,30/09/2012 19:20:00
CTWC,2012,30/09/2012 19:40:00
CTWC,2012,30/09/2012 19:40:00
CTWC,2012,30/09/2012 20:00:00
CTWC,2012,30/09/2012 20:00:00
CTWC,2012,30/09/2012 20:20:00
CTWC,2012,30/09/2012 20:20:00
CTWC,2012,30/09/2012 20:40:00
CTWC,2012,30/09/2012 20:40:00
CTWC,2012,30/09/2012 21:00:00
CTWC,2012,30/09/2012 21:00:00
CTWC,2012,30/09/2012 21:20:00
CTWC,2012,30/09/2012 21:20:00
CTWC,2012,30/09/2012 21:40:00
CTWC,2012,30/09/2012 21:40:00
CTWC,2012,30/09/2012 22:00:00
CTWC,2012,30/09/2012 22:00:00
CTWC,2012,30/09/2012 22:20:00
CTWC,2012,30/09/2012 22:20:00
CTWC,2012,30/09/2012 22:40:00
CTWC,2012,30/09/2012 22:40:00
CTWC,2012,30/09/2012 23:00:00
CTWC,2013,6/10/2013 18:00
CTWC,2013,6/10/2013 18:00
CTWC,2013,6/10/2013 18:20
CTWC,2013,6/10/2013 18:20
CTWC,2013,6/10/2013 18:40
CTWC,2013,6/10/2013 18:40
CTWC,2013,6/10/2013 19:00
CTWC,2013,6/10/2013 19:00
CTWC,2013,6/10/2013 19:20
CTWC,2013,6/10/2013 19:20
CTWC,2013,6/10/2013 19:40
CTWC,2013,6/10/2013 19:40
CTWC,2013,6/10/2013 20:00
CTWC,2013,6/10/2013 20:00
CTWC,2013,6/10/2013 20:20
CTWC,2013,6/10/2013 20:20
CTWC,2013,6/10/2013 20:40
CTWC,2013,6/10/2013 20:40
CTWC,2013,6/10/2013 21:00
CTWC,2013,6/10/2013 21:00
CTWC,2013,6/10/2013 21:20
CTWC,2013,6/10/2013 21:20
CTWC,2013,6/10/2013 21:40
CTWC,2013,6/10/2013 21:40
CTWC,2013,6/10/2013 22:00
CTWC,2013,6/10/2013 22:00
CTWC,2013,6/10/2013 22:20
CTWC,2014,19/10/2014 18:00:00
CTWC,2014,19/10/2014 18:00:00
CTWC,2014,19/10/2014 18:20:00
CTWC,2014,19/10/2014 18:20:00
CTWC,2014,19/10/2014 18:40:00
CTWC,2014,19/10/2014 18:40:00
CTWC,2014,19/10/2014 19:00:00
CTWC,2014,19/10/2014 19:00:00
CTWC,2014,19/10/2014 19:20:00
CTWC,2014,19/10/2014 19:20:00
CTWC,2014,19/10/2014 19:40:00
CTWC,2014,19/10/2014 19:40:00
CTWC,2014,19/10/2014 20:00:00
CTWC,2014,19/10/2014 20:00:00
CTWC,2014,19/10/2014 20:20:00
CTWC,2014,19/10/2014 20:20:00
CTWC,2014,19/10/2014 20:40:00
CTWC,2014,19/10/2014 20:40:00
CTWC,2014,19/10/2014 21:00:00
CTWC,2014,19/10/2014 21:00:00
CTWC,2014,19/10/2014 21:20:00
CTWC,2014,19/10/2014 21:20:00
CTWC,2014,19/10/2014 21:40:00
CTWC,2014,19/10/2014 21:40:00
CTWC,2014,19/10/2014 22:00:00
CTWC,2014,19/10/2014 22:00:00
CTWC,2014,19/10/2014 22:20:00
CTWC,2014,19/10/2014 22:20:00
CTWC,2014,19/10/2014 22:40:00
CTWC,2014,19/10/2014 23:00:00
CTWC,2014,19/10/2014 23:20:00
CTWC,2015,18/10/2015 18:00:00
CTWC,2015,18/10/2015 18:00:00
CTWC,2015,18/10/2015 18:20:00
CTWC,2015,18/10/2015 18:20:00
CTWC,2015,18/10/2015 18:40:00
CTWC,2015,18/10/2015 18:40:00
CTWC,2015,18/10/2015 19:00:00
CTWC,2015,18/10/2015 19:00:00
CTWC,2015,18/10/2015 19:20:00
CTWC,2015,18/10/2015 19:20:00
CTWC,2015,18/10/2015 19:40:00
CTWC,2015,18/10/2015 19:40:00
CTWC,2015,18/10/2015 20:00:00
CTWC,2015,18/10/2015 20:00:00
CTWC,2015,18/10/2015 20:20:00
CTWC,2015,18/10/2015 20:20:00
CTWC,2015,18/10/2015 20:40:00
CTWC,2015,18/10/2015 20:40:00
CTWC,2015,18/10/2015 21:00:00
CTWC,2015,18/10/2015 21:00:00
CTWC,2015,18/10/2015 21:20:00
CTWC,2015,18/10/2015 21:20:00
CTWC,2015,18/10/2015 21:40:00
CTWC,2015,18/10/2015 21:40:00
CTWC,2015,18/10/2015 22:00:00
CTWC,2015,18/10/2015 22:00:00
CTWC,2015,18/10/2015 22:20:00
CTWC,2015,18/10/2015 22:20:00
CTWC,2015,18/10/2015 22:40:00
CTWC,2015,18/10/2015 23:00:00
CTWC,2015,18/10/2015 23:20:00
GDQ Hotfix,2016,9/10/2016 20:00
GDQ Hotfix,2016,9/10/2016 20:00
GDQ Hotfix,2016,9/10/2016 20:30
GDQ Hotfix,2016,9/10/2016 20:30
GDQ Hotfix,2016,9/10/2016 21:00
GDQ Hotfix,2016,9/10/2016 21:30
CTWC,2016,23/10/2016 18:00:00
CTWC,2016,23/10/2016 18:00:00
CTWC,2016,23/10/2016 18:20:00
CTWC,2016,23/10/2016 18:20:00
CTWC,2016,23/10/2016 18:40:00
CTWC,2016,23/10/2016 18:40:00
CTWC,2016,23/10/2016 19:00:00
CTWC,2016,23/10/2016 19:00:00
CTWC,2016,23/10/2016 19:20:00
CTWC,2016,23/10/2016 19:20:00
CTWC,2016,23/10/2016 19:40:00
CTWC,2016,23/10/2016 19:40:00
CTWC,2016,23/10/2016 20:00:00
CTWC,2016,23/10/2016 20:00:00
CTWC,2016,23/10/2016 20:20:00
CTWC,2016,23/10/2016 20:20:00
CTWC,2016,23/10/2016 20:40:00
CTWC,2016,23/10/2016 20:40:00
CTWC,2016,23/10/2016 21:00:00
CTWC,2016,23/10/2016 21:00:00
CTWC,2016,23/10/2016 21:20:00
CTWC,2016,23/10/2016 21:20:00
CTWC,2016,23/10/2016 21:40:00
CTWC,2016,23/10/2016 21:40:00
CTWC,2016,23/10/2016 22:00:00
CTWC,2016,23/10/2016 22:00:00
CTWC,2016,23/10/2016 22:20:00
CTWC,2016,23/10/2016 22:20:00
CTWC,2016,23/10/2016 22:40:00
CTWC,2016,23/10/2016 23:00:00
CTWC,2016,23/10/2016 23:20:00
Singapore,2017,16/09/2017 07:00:00
Singapore,2017,16/09/2017 07:00:00
Singapore,2017,16/09/2017 07:00:00
Singapore,2017,16/09/2017 07:00:00
Singapore,2017,16/09/2017 08:00:00
Singapore,2017,16/09/2017 08:00:00
Singapore,2017,16/09/2017 09:00:00
CTWC,2017,22/10/2017 18:00:00
CTWC,2017,22/10/2017 18:00:00
CTWC,2017,22/10/2017 18:20:00
CTWC,2017,22/10/2017 18:20:00
CTWC,2017,22/10/2017 18:40:00
CTWC,2017,22/10/2017 18:40:00
CTWC,2017,22/10/2017 19:00:00
CTWC,2017,22/10/2017 19:00:00
CTWC,2017,22/10/2017 19:20:00
CTWC,2017,22/10/2017 19:20:00
CTWC,2017,22/10/2017 19:40:00
CTWC,2017,22/10/2017 19:40:00
CTWC,2017,22/10/2017 20:00:00
CTWC,2017,22/10/2017 20:00:00
CTWC,2017,22/10/2017 20:20:00
CTWC,2017,22/10/2017 20:20:00
CTWC,2017,22/10/2017 20:40:00
CTWC,2017,22/10/2017 20:40:00
CTWC,2017,22/10/2017 21:00:00
CTWC,2017,22/10/2017 21:00:00
CTWC,2017,22/10/2017 21:20:00
CTWC,2017,22/10/2017 21:20:00
CTWC,2017,22/10/2017 21:40:00
CTWC,2017,22/10/2017 21:40:00
CTWC,2017,22/10/2017 22:00:00
CTWC,2017,22/10/2017 22:00:00
CTWC,2017,22/10/2017 22:20:00
CTWC,2017,22/10/2017 22:20:00
CTWC,2017,22/10/2017 22:40:00
CTWC,2017,22/10/2017 23:00:00
CTWC,2017,22/10/2017 23:20:00
CTM Masters,Dec-17,1/12/2017 18:00
CTM Masters,Dec-17,1/12/2017 18:20
